Name,Email,Location,Trainer Email,Remaining Sessions,Package Size,Package Total Value
John Smith,john.smith@example.com,Wood Square,emily.trainer@gymfitness.com,12,20,1800
Sarah Johnson,sarah.j@email.com,888 Plaza,,8,10,900
Mike Wilson,mike.wilson@gmail.com,Woodlands Health,james.trainer@gymfitness.com,15,30,2700
Emma Davis,emma.d@yahoo.com,Century Park,,5,10,900
Chris Brown,chris.b@hotmail.com,Wood Square,emily.trainer@gymfitness.com,20,30,2700
Lisa Anderson,lisa.a@gmail.com,888 Plaza,alice.trainer@gymfitness.com,3,10,900
David Miller,david.m@outlook.com,Woodlands Health,,10,20,1800
Jessica Taylor,jessica.t@email.com,Century Park,james.trainer@gymfitness.com,18,20,1800
Robert Thomas,robert.t@gmail.com,Wood Square,,7,10,900
Maria Garcia,maria.g@yahoo.com,888 Plaza,emily.trainer@gymfitness.com,25,30,2700
