Name,Email,Location,Trainer Email,Package Template,Remaining Sessions
John Smith,john.smith@realclient.com,Wood Square,emily.trainer@gymfitness.com,24 Prime PT Sessions,12
Sarah Johnson,sarah.johnson@realclient.com,888 Plaza,,12 Elite PT Sessions,8
Mike Wilson,mike.wilson@realclient.com,Woodlands Health,james.trainer@gymfitness.com,36 Prime PT Sessions,30
Emma Davis,emma.davis@realclient.com,Century Park,,3 Session Intro Pack,2
Chris Brown,chris.brown@realclient.com,Wood Square,emily.trainer@gymfitness.com,Transformation Challenge - 24 Credits,20
Lisa Anderson,lisa.anderson@realclient.com,888 Plaza,alice.trainer@gymfitness.com,12 Prime PT Sessions,3
David Miller,david.miller@realclient.com,Woodlands Health,,24 Elite PT Sessions,10
Jessica Taylor,jessica.taylor@realclient.com,Century Park,james.trainer@gymfitness.com,Transformation Challenge - 12 Credits,8
Robert Thomas,robert.thomas@realclient.com,Wood Square,,12 Prime PT Sessions,7
Maria Garcia,maria.garcia@realclient.com,888 Plaza,emily.trainer@gymfitness.com,36 Elite PT Sessions,25
